,time [fs]
2201,3.2434887872114613e-13
2202,3.249342571632253e-13
2203,3.255184588487472e-13
2204,3.261031057467019e-13
2205,3.266909759778243e-13
2206,3.272804961887136e-13
2207,3.278664999679975e-13
2208,3.2844938086637073e-13
2209,3.290343544767702e-13
2210,3.2962011587376955e-13
2211,3.3020188417762713e-13
2212,3.30783056388043e-13
2213,3.313680724524972e-13
2214,3.3195480618614514e-13
2215,3.325398837975972e-13
2216,3.3312381388772283e-13
2217,3.337079910540506e-13
2218,3.342930587714842e-13
2219,3.3487921115053206e-13
2220,3.3546480648113747e-13
2221,3.360505883783013e-13
2222,3.3663660390818053e-13
2223,3.372203999225463e-13
2224,3.3780407755120804e-13
2225,3.3838940217938326e-13
2226,3.389723539331667e-13
2227,3.3955362475276117e-13
2228,3.4013970868697933e-13
2229,3.407284734445144e-13
2230,3.413127032983068e-13
2231,3.4189460544824227e-13
2232,3.424795682848232e-13
2233,3.4306592182373024e-13
2234,3.436515324571843e-13
2235,3.4423841653633584e-13
2236,3.448250192894541e-13
2237,3.4540897074840263e-13
2238,3.459944691991896e-13
2239,3.465823968002362e-13
2240,3.4716812559458726e-13
2241,3.4775299867194645e-13
2242,3.4834170222851336e-13
2243,3.489310339344682e-13
2244,3.4951551409629777e-13
2245,3.5009880449745496e-13
2246,3.5068638404482536e-13
2247,3.5127573704683145e-13
2248,3.518634275701599e-13
2249,3.524505666895268e-13
2250,3.530385871661396e-13
2251,3.536271803613966e-13
2252,3.54214635152929e-13
